X,Y,id,Tipo App,cb_heigh,icon_url
12.6331971695078,41.9580173053086,"1",Stradale,"160",./0.png
12.6332537847863,41.9581544732553,"2",Stradale,"160",./0.png
12.6333524049489,41.9583228770632,"3",Stradale,"160",./0.png
12.6333761468399,41.9583188027828,"4",Stradale,"160",./0.png
12.6334400673156,41.9584831318866,"5",Stradale,"160",./0.png
12.6334619829073,41.9584776995263,"5",Stradale,"160",./0.png
12.6335405137775,41.9586746222911,"7",Stradale,"160",./0.png
12.6335624293692,41.9586705480332,"8",Stradale,"160",./0.png
12.6336007816547,41.9587506750581,"9",Stradale,"160",./0.png
12.6336172183484,41.9587452427206,"10",Stradale,"160",./0.png
12.6336455259877,41.9588919156702,"11",Stradale,"160",./0.png
12.6336656152801,41.9588878414262,"12",Stradale,"160",./0.png
12.6337459724496,41.9590847629236,"13",Stradale,"160",./0.png
12.633766061742,41.9590793306146,"14",Stradale,"160",./0.png
12.6338263296191,41.9592518061996,"15",Stradale,"160",./0.png
12.6338464189115,41.9592477319785,"16",Stradale,"160",./0.png
12.6339286023803,41.9594419362247,"17",Stradale,"160",./0.png
12.6339468653734,41.9594378620158,"18",Stradale,"160",./0.png
12.6340144384477,41.9596279914859,"19",Stradale,"160",./0.png
12.6340308751415,41.9596239172889,"20",Stradale,"160",./0.png
12.6342427258611,41.9589462388993,"21",Proiettore,"250",./1.png
12.6343267356293,41.9591173567679,"22",Proiettore,"250",./1.png
12.6344290083905,41.9593129194838,"23",Proiettore,"250",./1.png
12.6345294548524,41.9595044073949,"24",Proiettore,"250",./1.png
12.6344335741387,41.959701326987,"25",Stradale,"160",./0.png
12.6344390530366,41.9597149076261,"26",Stradale,"160",./0.png
12.6344226163429,41.9597108334347,"27",Proiettore,"400",./1.png
12.6341450188482,41.9598008051013,"28",Stradale,"160",./0.png
12.6341231032565,41.9598062373488,"29",Stradale,"160",./0.png
12.6345394994985,41.959963772325,"30",Stradale,"160",./0.png
12.6342527705073,41.9600873555251,"31",Stradale,"160",./0.png
12.6342692072011,41.9600846394134,"32",Stradale,"160",./0.png
12.6342655546025,41.9600968619152,"33",Proiettore,"250",./1.png
12.6343020805886,41.9602462478598,"34",Stradale,"160",./0.png
12.6343185172824,41.9602408156499,"35",Stradale,"160",./0.png
12.6345961147771,41.9602394575962,"36",Stradale,"160",./0.png
12.6345906358791,41.960224519016,"37",Stradale,"160",./0.png
12.6342144182219,41.9606373657614,"38",Stradale,"160",./0.png
12.634132234753,41.9604716841652,"39",Proiettore,"400",./1.png
12.6337761063882,41.9606930455454,"40",Stradale,"160",./0.png
12.633905773639,41.9604160041878,"41",Stradale,"160",./0.png
12.633924036632,41.9604092139433,"42",Proiettore,"400",./1.png
12.6340527907332,41.96028359429,"43",Stradale,"160",./0.png
12.6340381803387,41.9602863103932,"44",Stradale,"160",./0.png
12.6339788256112,41.9601443938443,"45",Stradale,"160",./0.png
12.6339623889175,41.960148468008,"46",Stradale,"160",./0.png
12.6338263296191,41.9601973579522,"47",Stradale,"160",./0.png
12.633808066626,41.9602014321125,"48",Stradale,"160",./0.png
12.6338537241087,41.9598768565242,"49",Stradale,"160",./0.png
12.6338354611156,41.9598836468254,"50",Stradale,"160",./0.png
12.6337441461503,41.9596677148928,"51",Stradale,"160",./0.png
12.6337313620551,41.959671789087,"52",Stradale,"160",./0.png
12.6336400470898,41.9594531402978,"53",Stradale,"160",./0.png
12.6335386874782,41.9592460343864,"54",Stradale,"160",./0.png
12.6334373278667,41.9590362116454,"55",Stradale,"160",./0.png
12.6333314025069,41.9588324995855,"56",Stradale,"160",./0.png
12.6332273034464,41.9586226754829,"57",Stradale,,./0.png
12.6331177254879,41.9584148878268,"58",Stradale,"160",./0.png
12.6330318894205,41.9582451261669,"59",Stradale,,./0.png
12.6329579242986,41.9580869078927,"60",Stradale,"160",./0.png
12.6329195720131,41.9580020266825,"61",Stradale,"160",./0.png
